player,line,best_over_odds,best_under_odds
Aaron Wiggins,14.5,100.0,-115.0
Alex Caruso,7.5,-115.0,-115.0
Alperen Sengun,21.5,,-108.0
Alperen Sengun,22.5,-104.0,
Amir Coffey,9.5,,100.0
Amir Coffey,10.5,-112.0,
Andre Drummond,10.5,-110.0,-105.0
Andrew Wiggins,18.5,,-110.0
Andrew Wiggins,19.5,105.0,
Anfernee Simons,24.5,-105.0,-110.0
Anthony Edwards,26.5,-115.0,105.0
Bam Adebayo,18.5,,-107.0
Bam Adebayo,19.5,100.0,
Bismack Biyombo,5.5,-129.0,110.0
Bogdan Bogdanovic,13.5,-115.0,-108.0
Bol Bol,6.5,100.0,-125.0
Bradley Beal,14.5,,105.0
Bradley Beal,15.5,-102.0,
Cameron Payne,6.5,-118.0,104.0
Caris LeVert,15.5,-110.0,-116.0
Cason Wallace,7.5,,-104.0
Cason Wallace,8.5,-101.0,
Chet Holmgren,15.5,,-114.0
Chet Holmgren,16.5,100.0,
Chris Paul,7.5,-116.0,-108.0
Christian Braun,15.5,-110.0,-115.0
Clint Capela,7.5,-115.0,-108.0
DaQuan Jeffries,6.5,100.0,-116.0
Dante Exum,10.5,-109.0,-118.0
Davion Mitchell,6.5,-105.0,-114.0
De'Aaron Fox,21.5,-105.0,-110.0
Deni Avdija,16.5,,-105.0
Deni Avdija,17.5,100.0,
Derrick Jones,10.5,,-105.0
Derrick Jones,11.5,105.0,
Derrick White,14.5,,-104.0
Derrick White,15.5,-105.0,
Desmond Bane,21.5,,100.0
Desmond Bane,22.5,-106.0,
Devin Booker,25.5,-110.0,-108.0
Devin Vassell,17.5,-105.0,-118.0
Dillon Brooks,13.5,,100.0
Dillon Brooks,14.5,-111.0,
Donovan Clingan,9.5,115.0,-125.0
Donte DiVincenzo,11.5,,100.0
Donte DiVincenzo,12.5,-108.0,
Duncan Robinson,10.5,-114.0,-105.0
Dyson Daniels,14.5,,-102.0
Dyson Daniels,15.5,110.0,
Fred VanVleet,11.5,,102.0
Fred VanVleet,12.5,-105.0,
Georges Niang,12.5,-105.0,-114.0
Grayson Allen,8.5,-115.0,-105.0
Guerschon Yabusele,9.5,,100.0
Guerschon Yabusele,10.5,100.0,
Isaiah Hartenstein,10.5,110.0,-115.0
Isaiah Joe,7.5,-105.0,-125.0
Ivica Zubac,18.5,,-110.0
Ivica Zubac,20.5,120.0,
Ja Morant,25.5,,-115.0
Ja Morant,26.5,100.0,
Jabari Smith Jr,12.5,-106.0,-125.0
Jaden McDaniels,13.5,,100.0
Jaden McDaniels,14.5,115.0,
Jakob Poeltl,14.5,,-105.0
Jakob Poeltl,15.5,-106.0,
Jalen Green,20.5,,105.0
Jalen Green,21.5,-110.0,
Jamal Murray,22.5,100.0,-125.0
Jamal Shead,13.5,-105.0,-105.0
James Harden,24.5,,-104.0
James Harden,25.5,100.0,
Jaylen Brown,23.5,-102.0,-115.0
Jaylen Wells,11.5,-105.0,-105.0
Jayson Tatum,26.5,,-108.0
Jayson Tatum,27.5,-105.0,
Josh Green,5.5,,100.0
Josh Green,6.5,100.0,
Josh Hart,15.5,,102.0
Josh Hart,16.5,110.0,
Jrue Holiday,9.5,-104.0,-115.0
Julius Randle,18.5,-105.0,-110.0
Justin Edwards,10.5,-110.0,-114.0
Karl-Anthony Towns,25.5,,-105.0
Karl-Anthony Towns,26.5,-108.0,
Kel'el Ware,8.5,,100.0
Kel'el Ware,9.5,100.0,
Kelly Oubre Jr,16.5,,-106.0
Kelly Oubre Jr,17.5,103.0,
Kevin Durant,25.5,,-114.0
Kevin Durant,26.5,-102.0,
Klay Thompson,19.5,-108.0,100.0
Kris Dunn,7.5,102.0,-120.0
Kristaps Porzingis,16.5,,-105.0
Kristaps Porzingis,17.5,100.0,
LaMelo Ball,25.5,-102.0,-110.0
Landry Shamet,5.5,-115.0,-115.0
Lauri Markkanen,18.5,-103.0,100.0
Luguentz Dort,10.5,-114.0,-109.0
Mark Williams,16.5,102.0,-115.0
Mason Plumlee,5.5,,-102.0
Mason Plumlee,6.5,110.0,
Max Christie,13.5,-110.0,-104.0
Michael Porter Jr,17.5,,100.0
Michael Porter Jr,18.5,102.0,
Mikal Bridges,16.5,-110.0,-104.0
Mike Conley,7.5,,100.0
Mike Conley,8.5,100.0,
Miles Bridges,23.5,,-106.0
Miles Bridges,24.5,-105.0,
Miles McBride,13.5,-105.0,-110.0
Mitchell Robinson,4.5,,-105.0
Mitchell Robinson,5.5,-102.0,
Mouhamed Gueye,6.5,,-102.0
Mouhamed Gueye,7.5,100.0,
Nick Richards,9.5,-109.0,-106.0
Nickeil Alexander-Walker,7.5,-125.0,105.0
Nicolas Batum,5.5,-115.0,100.0
Nikola Jokic,27.5,,-104.0
Nikola Jokic,28.5,105.0,
OG Anunoby,16.5,-122.0,-104.0
Onyeka Okongwu,14.5,,-104.0
Onyeka Okongwu,15.5,105.0,
P.J. Washington,15.5,,-109.0
P.J. Washington,16.5,-105.0,
Payton Pritchard,10.5,-104.0,
Payton Pritchard,11.5,,-115.0
Peyton Watson,7.5,-125.0,100.0
Quentin Grimes,19.5,102.0,-123.0
Royce O'Neale,6.5,-103.0,-120.0
Rudy Gobert,11.5,-115.0,100.0
Russell Westbrook,13.5,,115.0
Russell Westbrook,14.5,100.0,
Scoot Henderson,13.5,-120.0,105.0
Scottie Barnes,21.5,,-109.0
Scottie Barnes,22.5,105.0,
Shaedon Sharpe,17.5,-108.0,-113.0
Shai Gilgeous-Alexander,33.5,-105.0,-106.0
Tari Eason,13.5,-110.0,-107.0
Terry Rozier,6.5,100.0,-114.0
Toumani Camara,11.5,120.0,-125.0
Trae Young,26.5,,-104.0
Trae Young,27.5,105.0,
Tyler Herro,21.5,-115.0,-106.0
Vincent Williams Jr,10.5,-105.0,-120.0
Walker Kessler,11.5,-105.0,-125.0
Zaccharie Risacher,12.5,-104.0,-107.0
Zach Edey,8.5,,100.0
Zach Edey,9.5,-103.0,
